code,name,meal_item_codes,prompt
M011,بطاطا حلوة مهروسة + قشطة طبيعية,"CB06,DF03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. mashed sweet potato, natural cream. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M012,توست قمح كامل + زبدة بلدي + مربى مشمش,"CB10,DF01,FR11","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, melting pat of golden country butter, fresh apricots. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M013,بطاطس مسلوقة + زيت زيتون + عسل طبيعى,"CB07,OI01,SW04","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. boiled potatoes, olive oil drizzle, natural honey drizzle. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M014,توست قمح كامل + جبنة فلمنك + زيتون كالاماتا,"CB10,CH03,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, Flemish cheese, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M015,توست قمح كامل + جبنة ريكفورد +   زيت زيتون,"CB10,CH05,OI01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, Rickvord cheese, olive oil drizzle. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M016,توست قمح كامل + جبنة موتزاريلا + زيتون كالاماتا,"CB10,CH04,OL01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, Mozzarella cheese, a small cluster of glossy Kalamata olives. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M017,بطاطا حلوة مهروسة + سمن بلدي + عصير جوافة,"CB06,DF02,FR07","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. mashed sweet potato, country ghee, guava juice. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M018,توست قمح كامل + زبدة بلدي + مربى فراولة,"CB10,DF01,FR09","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. thick slice of multigrain seeded toast, melting pat of golden country butter, fresh strawberries. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M019,بطاطا حلوة مشوية +  تمر + زبدة,"CB05,FR03,DF01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. roasted sweet potato, dates, melting pat of golden country butter. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M020,أرز أبيض + لحم بتلو مسلوق,"CB01,MT07","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, boiled veal meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M021,أرز أبيض + كبدة مسلوقة,"CB01,MT02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, boiled liver pieces. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M022,أرز بسمتي + سمك سردين  مشوي,"CB04,FS02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. basmati rice, grilled sardine fillet. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M023,أرز أبيض + لحم ضأن مشوي,"CB01,MT09","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, grilled lamb meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M024,أرز أبيض + لحم إبل مسلوق,"CB01,MT06","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, boiled camel meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M025,أرز بالشعيرية + حمام مشوي,"CB02,BD02","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. vermicelli rice, grilled pigeon. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M026,تمر + ماء دافئ + أرز أبيض + لحم بتلو مسلوق,"FR03,DR03,CB01,MT07","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, warm water, fluffy white Egyptian rice mound, boiled veal meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M027,أرز أبيض + سمك ماكريل بحري مشوي,"CB01,FS03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, grilled mackerel fillet. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M028,محشي كوسا وفلفل بالأرز,MT12,"Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. courgette stuffed with rice. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M029,أرز أبيض + سمان مشوي,"CB01,BD03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, roasted quail. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M030,أرز أبيض + لحم أرانب مسلوق,"CB01,MT05","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, tender boiled rabbit meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M031,تمر  + أرز أبيض + لحم إبل مسلوق,"FR03,CB01,MT06","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, fluffy white Egyptian rice mound, boiled camel meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M032,أرز بالشعيرية + لحم ضأن مشوي,"CB02,MT09","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. vermicelli rice, grilled lamb meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M033,أرز أبيض + حمام محشى,"CB01,BD01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, stuffed pigeon. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M034,ممبار محشى + شوربة لحم,"MT13,MT01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. stuffed tripe, warm broth. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M035,أرز بسمتي + سمان,"CB04,BD03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. basmati rice, roasted quail. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M036,أرز أبيض + لحم ماعز مسلوق + بطاطس مقلية,"CB01,MT10,CB08","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, tender boiled goat meat pieces, golden pan-fried seasoned potato cubes. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M037,تمر + ماء دافئ + أرز بالمكسرات + كفتة خروف,"FR03,DR03,CB03,MT04","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, warm water, rice with nuts, lamb kofta. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M038,أرز أبيض + تونة,"CB01,FS01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, grilled tuna fillet. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M039,أرز بسمتي + لحم ماعز مشوي,"CB04,MT11","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. basmati rice, grilled goat meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M040,تمر + ماء دافئ + أرز أبيض + كوارع,"FR03,DR03,CB01,MT14","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, warm water, fluffy white Egyptian rice mound, boiled trotters. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M041,ارز ابيض + كفتة  لحم بقرى,"CB01,MT03","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fluffy white Egyptian rice mound, beef kofta. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M042,أرز بالمكسرات + لحم بتلو مسلوق,"CB03,MT07","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. rice with nuts, boiled veal meat. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M043,تمر + شاي أخضر,"FR03,DR01","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. dates, green tea. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M044,موز + عنب أسود,"FR12,FR08","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. banana slices, glossy black grapes. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
M045,رمان طازج + موز,"FR05,FR12","Professional editorial food photography, three-quarter 45-degree eye-level angle. A rustic cream speckled stoneware plate with organic uneven edges, centered on a beige linen napkin over a dark rustic wooden table. fresh pomegranate seeds, banana slices. Soft diffused natural window light coming from the left, gentle warm shadows, cozy morning ambiance. Shallow depth of field with softly blurred background props (a glass of water and a speckled ceramic bowl) adding context without distraction. Warm inviting color palette, glistening natural sheen on food, steam softly rising, appetizing and fresh, complete plate fully visible with no cutoff, clean minimal styling, high detail, 4k ultra-realistic, cookbook magazine quality, square 1:1 composition."
