code,id,name,name_en,description,description_en,category,zone,rating,frequency,notes,image_url,active,max_day_frequency,max_week_frequency,max_month_frequency
FR17,90,جوافة طازجة بدون بذر,Fresh seedless guava,,,7,4,3,,,,TRUE,1,1,4
FR18,91,توت مجفف,Dried mulberries,,,7,3,3,,,,TRUE,1,2,8
FR19,92,تين مجفف,Dried figs,,,7,3,3,,,,TRUE,1,2,8
NT01,47,عين الجمل,Walnuts,,,8,3,3,,,,TRUE,1,2,8
NT02,46,فستق,Pistachios,,,8,3,3,,,,TRUE,1,2,8
NT03,48,فول سوداني,Peanuts,,,8,3,3,,,,TRUE,1,2,8
NT04,45,كاجو,Cashews,,,8,3,3,,,,TRUE,1,2,8
NT05,44,لوز,Almonds,,,8,4,3,,,,TRUE,1,1,4
SW01,55,حلاوة طحينية غامقة,Dark tahini halva,,,9,3,3,,,,TRUE,1,2,8
SW02,56,شوكولاتة داكنة 70%,Dark chocolate 70%+,,,9,2,4,,,,TRUE,1,7,30
SW03,50,عسل أسود (دبس),Black honey (molasses),,,9,3,4,,,,TRUE,1,2,8
SW04,49,عسل طبيعي,Natural honey,,,9,2,5,,,,TRUE,1,7,30
SW05,52,مربى تين طبيعية,Natural fig jam,,,9,4,3,,,,TRUE,1,1,4
SW06,54,مربى فراولة طبيعية,Natural strawberry jam,,,9,4,3,,,,TRUE,1,1,4
SW07,53,مربى مشمش طبيعية,Natural apricot jam,,,9,4,3,,,,TRUE,1,1,4
SW08,51,نوتيلا,Nutella,,,9,2,3,,,,TRUE,1,7,30
SW09,72,شمع العسل,Honeycomb,,,9,3,4,,,,TRUE,1,2,8
SW10,73,غذاء ملكات النحل,Royal jelly,,,9,3,4,,,,TRUE,1,2,8
SW11,74,حبوب اللقاح الطبيعية,Natural bee pollen,,,9,3,4,,,,TRUE,1,2,8
SW12,75,اللبان الذكر (الكُندر),Frankincense (Boswellia),,,9,3,4,,,,TRUE,1,2,8
SW13,76,المستكة اليونانية,Greek mastic,,,9,3,4,,,,TRUE,1,2,8
SW14,77,حلاوة المولد (نوجا),Nougat halva,,,9,3,3,,,,TRUE,1,2,8
OL01,57,زيتون كالاماتا,Kalamata olives,,,10,3,4,,,,TRUE,1,2,8
DR01,58,شاي أخضر,Green tea,,,11,3,4,,,,TRUE,1,2,8
DR02,59,قهوة تركية,Turkish coffee,,,11,2,4,,,,TRUE,1,7,30
DR03,60,ماء دافئ,Warm water,,,11,1,5,,,,TRUE,2,14,60
HB01,61,شاي زعتر,Thyme tea,,,12,3,4,,,,TRUE,1,7,30
HB02,62,كراوية دافئة,Warm caraway tea,,,12,3,4,,,,TRUE,1,7,30
HB03,63,ينسون دافئ,Warm anise tea,,,12,3,4,,,,TRUE,1,7,30
HB04,78,كمون دافئ,Warm cumin tea,,,12,3,4,,,,TRUE,1,7,30
OI01,64,زيت زيتون,Olive oil,,,13,1,5,,,,TRUE,2,14,60
OI02,79,زيت الذرة وعباد الشمس,Corn and sunflower oil,,,13,1,4,,,,TRUE,1,7,30
OI03,80,خل قصب السكر الطبيعي,Natural sugarcane vinegar,,,13,3,4,,,,TRUE,1,7,30
OI04,81,خل التفاح الطبيعي,Natural apple cider vinegar,,,13,3,4,,,,TRUE,1,7,30
OI05,,شاى اخضر,,,,,,4,,,,,1,2,8
