id,name,name_en,description,description_en,meal_item_ids,zone,image_url,meal_type_ids,active
21,أرز أبيض + لحم ضأن مشوي,White rice + grilled lamb,أرز أبيض + خروف مشوي بالملح والزيت - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice and lamb grilled with salt and oil - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,12",3,,2,true
22,أرز أبيض + لحم إبل مسلوق,White rice + boiled camel meat,أرز أبيض + لحم جمل مسلوق - من أفضل اللحوم - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice and boiled camel meat - among the best meats - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,14",3,,2,true
23,أرز بالشعيرية + حمام مشوي,Vermicelli rice + grilled pigeon,أرز بالشعيرية + حمام طائر مشوي بالملح والزيت,Vermicelli rice and flying pigeon grilled with salt and oil,"3,23",3,,2,true
24,تمر + ماء دافئ + أرز أبيض + لحم بتلو مسلوق,Dates + warm water + white rice + boiled beef (fasting),إفطار الصيام: تمر وماء دافئ ثم أرز ولحم بتلو - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Fasting lunch: dates and warm water then white rice and boiled beef - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"32,60,1,11",3,,2,true
25,أرز أبيض + سمك ماكريل بحري مشوي,White rice + grilled sea mackerel,أرز أبيض + ماكريل بحري طبيعي مشوي - يُنصح بأسماك البحر الحرة الطازجة: دنيس • لوت • مكرونة,White rice and natural sea mackerel grilled - Preferred free-sea fish: sea bream (denise) • grouper (lout) • barracuda (makarona),"1,21",3,,2,true
26,محشي كوسا وفلفل بالأرز,Stuffed zucchini and pepper with rice,كوسا وفلفل محشيان بالأرز - مرة شهريًا كحد أقصى,Zucchini and pepper stuffed with rice - at most once per month,19,4,,2,true
27,أرز أبيض + سمان مشوي,White rice + grilled quail,أرز أبيض + طائر سمان مهاجر طبيعي مشوي,White rice and natural migratory quail grilled,"1,24",3,,2,true
28,أرز أبيض + لحم أرانب مسلوق,White rice + boiled rabbit,أرز أبيض + أرانب مسلوقة - بروتين خفيف سهل الهضم - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice and boiled rabbit - light protein easy to digest - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,17",3,,2,true
29,تمر + ماء دافئ + أرز أبيض + لحم إبل مسلوق,Dates + warm water + white rice + boiled camel (fasting),إفطار الصيام: تمر وماء دافئ ثم أرز ولحم إبل - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Fasting lunch: dates and warm water then white rice and boiled camel - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"32,60,1,14",3,,2,true
30,أرز بالشعيرية + لحم ضأن مشوي,Vermicelli rice + grilled lamb,أرز بالشعيرية + خروف مشوي بالملح والزيت - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Vermicelli rice and lamb grilled with salt and oil - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"3,12",3,,2,true
31,أرز أبيض + حمام مشوي,White rice + grilled pigeon,أرز أبيض + حمام طائر مشوي بالملح والزيت,White rice and flying pigeon grilled with salt and oil,"1,23",3,,2,true
32,أرز بسمتي + سمك ماكريل بحري مشوي,Basmati rice + grilled sea mackerel,أرز بسمتي + ماكريل بحري طبيعي مشوي - يُنصح بأسماك البحر الحرة الطازجة: دنيس • لوت • مكرونة,Basmati rice and natural sea mackerel grilled - Preferred free-sea fish: sea bream (denise) • grouper (lout) • barracuda (makarona),"2,21",3,,2,true
33,أرز أبيض + لحم ماعز مسلوق,White rice + boiled goat meat,أرز أبيض + لحم ماعز مسلوق بالملح والزيت - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice and goat meat boiled with salt and oil - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,15",3,,2,true
34,تمر + ماء دافئ + أرز بالمكسرات + لحم إبل مسلوق,Dates + warm water + rice with nuts + boiled camel (fasting),إفطار الصيام: تمر وماء دافئ ثم أرز بالمكسرات ولحم إبل - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Fasting lunch: dates and warm water then rice with nuts and boiled camel - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"32,60,4,14",3,,2,true
35,أرز أبيض + تونة بحرية طبيعية مشوية,White rice + grilled natural sea tuna,أرز أبيض + تونة من البحر المفتوح مشوية - يُنصح بأسماك البحر الحرة الطازجة: دنيس • لوت • مكرونة,White rice and open-ocean natural tuna grilled - Preferred free-sea fish: sea bream (denise) • grouper (lout) • barracuda (makarona),"1,22",3,,2,true
36,أرز بسمتي + لحم ماعز مشوي,Basmati rice + grilled goat meat,أرز بسمتي + ماعز مشوي بالملح والزيت - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Basmati rice and goat meat grilled with salt and oil - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"2,16",3,,2,true
37,أرز أبيض + لحم ضأن مسلوق,White rice + boiled lamb,أرز أبيض + خروف مسلوق بالملح والزيت - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,White rice and lamb boiled with salt and oil - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"1,13",3,,2,true
38,تمر + ماء دافئ + أرز أبيض + حمام مشوي,Dates + warm water + white rice + grilled pigeon (fasting),إفطار الصيام: تمر وماء دافئ ثم أرز وحمام مشوي,Fasting lunch: dates and warm water then white rice and grilled pigeon,"32,60,1,23",3,,2,true
39,أرز بالمكسرات + لحم بتلو مسلوق,Rice with nuts + boiled beef,أرز بالمكسرات + لحم بتلو مسلوق - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Rice with nuts and boiled beef - Lamb is preferred in Al-Tayebaat system - prioritize it when choosing,"4,11",3,,2,true
40,تمر + شاي أخضر,Dates + green tea,عشاء خفيف بالتمر والشاي الأخضر,Light dinner with dates and green tea,"32,58",3,,3,true
41,موز + عنب أسود,Banana + black grapes,عشاء خفيف بالفواكه الطبيعية,Light dinner with natural fruits,"33,34",3,,3,true
42,رمان طازج + موز,Fresh pomegranate + banana,عشاء خفيف بالرمان والموز الطازج,Light dinner with fresh pomegranate and banana,"35,33",3,,3,true
43,برقوق طازج + ينسون دافئ,Fresh plums + warm anise tea,عشاء خفيف بالبرقوق وشاي الينسون الدافئ,Light dinner with fresh plums and warm anise tea,"39,63",3,,3,true
44,عنب أسود + قشطة طبيعية,Black grapes + natural cream,عشاء خفيف بالعنب الأسود والقشطة الطبيعية,Light dinner with black grapes and natural cream,"34,27",3,,3,true
45,تمر + قهوة تركية,Dates + Turkish coffee,عشاء خفيف بالتمر والقهوة التركية,Light dinner with dates and Turkish coffee,"32,59",2,,3,true
46,حلاوة طحينية غامقة,Dark tahini halva,حلاوة طحينية طبيعية داكنة,Natural dark tahini halva,55,3,,3,true
47,موز + لوز وكاجو,Banana + almonds and cashews,عشاء خفيف بالموز والمكسرات الطبيعية,Light dinner with banana and natural nuts,"33,44,45",4,,3,true
48,عنب أسود + كراوية دافئة,Black grapes + warm caraway tea,عشاء خفيف بالعنب وشاي الكراوية الدافئ,Light dinner with grapes and warm caraway tea,"34,62",3,,3,true
49,فراولة طازجة + قشطة طبيعية,Fresh strawberries + natural cream,عشاء خفيف بالفراولة الطازجة والقشطة,Light dinner with fresh strawberries and natural cream,"37,27",3,,3,true
50,فشار ذرة طبيعي + تمر,Natural popcorn + dates,وجبة خفيفة طبيعية بديل المخبوزات الصناعية,Natural light snack alternative to processed bakery,"10,32",3,,3,true
51,تفاح مقشّر + موز,Peeled apple + banana,عشاء خفيف بالتفاح المقشر والموز,Light dinner with peeled apple and banana,"36,33",4,,3,true
52,كرز طازج + شاي أخضر,Fresh cherries + green tea,عشاء خفيف بالكرز الطازج والشاي الأخضر,Light dinner with fresh cherries and green tea,"38,58",3,,3,true
53,شاي أخضر + فستق,Green tea + pistachios,عشاء خفيف بالشاي الأخضر والفستق الطبيعي,Light dinner with green tea and natural pistachios,"58,46",3,,3,true
54,تمر + شاي زعتر,Dates + thyme tea,عشاء خفيف بالتمر وشاي الزعتر الدافئ,Light dinner with dates and warm thyme tea,"32,61",3,,3,true
55,تفاح مقشّر + قشطة طبيعية,Peeled apple + natural cream,عشاء خفيف بالتفاح المقشر والقشطة الطبيعية,Light dinner with peeled apple and natural cream,"36,27",4,,3,true
56,رمان طازج + لوز,Fresh pomegranate + almonds,عشاء خفيف بالرمان الطازج واللوز الطبيعي,Light dinner with fresh pomegranate and natural almonds,"35,44",4,,3,true
57,قشطة طبيعية بالعسل,Natural cream with honey,قشطة طبيعية مع عسل النحل الطبيعي,Natural cream with natural bee honey,"27,49",2,,3,true
58,تين طازج + موز,Fresh figs + banana,عشاء خفيف بالتين الطازج والموز,Light dinner with fresh figs and banana,"41,33",3,,3,true
59,عنب أسود + كاجو,Black grapes + cashews,عشاء خفيف بالعنب الأسود والكاجو الطبيعي,Light dinner with black grapes and natural cashews,"34,45",3,,3,true
60,تفاح مقشّر + زبيب,Peeled apple + raisins,عشاء خفيف بالتفاح المقشر والزبيب الطبيعي,Light dinner with peeled apple and natural raisins,"36,42",4,,3,true
61,مشمش طازج + تمر,Fresh apricots + dates,عشاء خفيف بالمشمش الطازج والتمر,Light dinner with fresh apricots and dates,"40,32",3,,3,true
62,رمان طازج + فول سوداني,Fresh pomegranate + peanuts,عشاء خفيف بالرمان الطازج والفول السوداني,Light dinner with fresh pomegranate and peanuts,"35,48",3,,3,true
63,شاي أخضر + حلاوة طحينية,Green tea + dark tahini halva,عشاء خفيف بالشاي الأخضر والحلاوة الطحينية,Light dinner with green tea and dark tahini halva,"58,55",3,,3,true
64,شوكولاتة داكنة 70% + لوز,Dark chocolate 70%+ + almonds,مرة شهريًا كحد أقصى - شوكولاتة داكنة مع اللوز الطبيعي,At most once per month - dark chocolate with natural almonds,"56,44",4,,3,true
65,بطاطا حلوة مشوية + قشطة طبيعية + تمر,Roasted sweet potato + natural cream + dates,عشاء متوازن بالبطاطا الحلوة والقشطة والتمر,Balanced dinner with sweet potato cream and dates,"8,27,32",4,,3,true
66,تمر + قهوة تركية + عسل أسود,Dates + Turkish coffee + black honey (molasses),فطار خفيف بالتمر والقهوة والعسل الأسود - مصدر حديد,Light breakfast with dates coffee and molasses - iron source,"32,59,50",3,,1,true
67,عسل طبيعي + شوكولاتة داكنة + قهوة تركية,Natural honey + dark chocolate + Turkish coffee,فطار أحيانًا - مرة شهريًا - مع شوكولاتة داكنة 70%,Occasional breakfast - monthly - with dark 70% chocolate,"49,56,59",2,,1,true
68,موز + لوز وكاجو + شاي أخضر,Banana + almonds and cashews + green tea,عشاء خفيف بالموز والمكسرات والشاي الأخضر,Light dinner with banana nuts and green tea,"33,44,45,58",4,,3,true
69,رمان طازج + لوز + شاي أخضر,Fresh pomegranate + almonds + green tea,عشاء خفيف بالرمان واللوز والشاي الأخضر,Light dinner with pomegranate almonds and green tea,"35,44,58",4,,3,true
70,تمر + لوز + قشطة طبيعية,Dates + almonds + natural cream,عشاء خفيف بالتمر واللوز والقشطة الطبيعية,Light dinner with dates almonds and natural cream,"32,44,27",4,,3,true
71,عنب أسود + قشطة طبيعية + عسل,Black grapes + natural cream + honey,عشاء خفيف بالعنب والقشطة والعسل الطبيعي,Light dinner with grapes natural cream and honey,"34,27,49",3,,3,true
72,أرز أبيض + حبات ذرة مشوية + بطاطس مقلية + زبدة بلدي,White rice + roasted corn kernels + fried potatoes + country butter,غداء بالأرز وحبات الذرة المشوية والبطاطس المقلية والزبدة البلدي,Lunch with rice roasted corn kernels fried potatoes and country butter,"1,70,66,25",3,,2,true
73,أرز أبيض + شوربة لحم + بطاطس مسلوقة,White rice + meat broth + boiled potatoes,غداء دافئ بالأرز الأبيض وشوربة اللحم والبطاطس المسلوقة - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Warm lunch with white rice meat broth and boiled potatoes - Lamb is preferred in the system - choose it when available,"1,65,6",3,,2,true
74,أرز أبيض + لحم ضأن مشوي + بطاطس مقلية,White rice + grilled lamb + fried potatoes,غداء بالأرز الأبيض ولحم الضأن المشوي والبطاطس المقلية - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Lunch with white rice grilled lamb and fried potatoes - Lamb is preferred in the system - choose it when available,"1,12,66",3,,2,true
75,أرز أبيض + كفتة لحم بقري + بطاطس مسلوقة + شوربة لحم,White rice + beef kofta + boiled potatoes + meat broth,غداء بالأرز الأبيض والكفتة البقرية والبطاطس المسلوقة وشوربة اللحم - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Lunch with white rice beef kofta boiled potatoes and meat broth - Lamb is preferred in the system - choose it when available,"1,67,6,65",3,,2,true
76,أرز أبيض + كفتة لحم بقري + بطاطس مسلوقة + زيتون كالاماتا,White rice + beef kofta + boiled potatoes + Kalamata olives,غداء بالأرز الأبيض والكفتة البقرية والبطاطس المسلوقة وزيتون كالاماتا - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Lunch with white rice beef kofta boiled potatoes and Kalamata olives - Lamb is preferred in the system - choose it when available,"1,67,6,57",3,,2,true
77,أرز أبيض + كفتة لحم خروف + بطاطس مسلوقة + زيتون كالاماتا,White rice + lamb kofta + boiled potatoes + Kalamata olives,غداء بالأرز الأبيض وكفتة الخروف والبطاطس المسلوقة وزيتون كالاماتا - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Lunch with white rice lamb kofta boiled potatoes and Kalamata olives - Lamb is preferred in the system - choose it when available,"1,68,6,57",3,,2,true
78,أرز أبيض + حمام محشي + بطاطس مقلية + زيتون كالاماتا,White rice + stuffed pigeon + fried potatoes + Kalamata olives,غداء بالأرز الأبيض والحمام المحشي والبطاطس المقلية وزيتون كالاماتا - مرة شهريًا كحد أقصى,Lunch with white rice stuffed pigeon fried potatoes and Kalamata olives - max once monthly,"1,69,66,57",4,,2,true
79,أرز أبيض + سمك سردين بحري مشوي + بطاطس مقلية + زيتون كالاماتا,White rice + grilled sea sardine + fried potatoes + Kalamata olives,غداء بالأرز الأبيض والسردين البحري المشوي والبطاطس المقلية وزيتون كالاماتا - يُنصح بأسماك البحر الحرة الطازجة: دنيس • لوت • مكرونة,Lunch with white rice grilled sea sardine fried potatoes and Kalamata olives - Prefer natural free-sea fish: sea bream (denise) • grouper (lout) • barracuda (makarona),"1,20,66,57",3,,2,true
80,أرز أبيض + شوربة لحم + بطاطس مسلوقة + زيتون كالاماتا,White rice + meat broth + boiled potatoes + Kalamata olives,غداء دافئ بالأرز الأبيض وشوربة اللحم والبطاطس المسلوقة وزيتون كالاماتا - لحم الضأن الأفضل في النظام - فضِّله عند الاختيار,Warm lunch with white rice meat broth boiled potatoes and Kalamata olives - Lamb is preferred in the system - choose it when available,"1,65,6,57",3,,2,true
81,أرز أبيض + بطاطس مسلوقة + زيت زيتون + زيتون كالاماتا,White rice + boiled potatoes + olive oil + Kalamata olives,غداء خفيف بالأرز الأبيض والبطاطس المسلوقة وزيت الزيتون وزيتون كالاماتا,Light lunch with white rice boiled potatoes olive oil and Kalamata olives,"1,6,64,57",3,,2,true
82,أرز بسمتي + بطاطس مهروسة + جبنة جودة,Basmati rice + mashed potatoes + Gouda cheese,غداء بالأرز البسمتي والبطاطس المهروسة وجبنة الجودة - يُقدَّم مع زيتون كالاماتا,Lunch with basmati rice mashed potatoes and Gouda cheese - served with Kalamata olives,"2,7,28",2,,2,true
83,أرز أبيض + سمك سردين بحري مشوي + بطاطس مسلوقة,White rice + grilled sea sardine + boiled potatoes,غداء بالأرز الأبيض والسردين البحري المشوي والبطاطس المسلوقة - يُنصح بأسماك البحر الحرة الطازجة: دنيس • لوت • مكرونة,Lunch with white rice grilled sea sardine and boiled potatoes - Prefer natural free-sea fish: sea bream (denise) • grouper (lout) • barracuda (makarona),"1,20,6",3,,2,true
