code,id,name,name_en,description,description_en,category,zone,rating,frequency,notes,image_url,active
FR07,43,عصير جوافة معلب طبيعي,Natural canned guava juice,عصير جوافة معلب طبيعي ضمن العصائر المعلبة المسموحة ويُتجنب العصير الطازج المعصور,Natural canned guava juice among permitted canned juices fresh squeezed juice is to be avoided,7,3,,weekly,,,True
FR08,34,عنب أسود,Black grapes,الأسود مفضَّل ثم الأحمر ثم الأخضر,Black preferred then red then green,7,3,,weekly,,,True
FR09,37,فراولة طازجة,Fresh strawberries,طازجة بكميات معتدلة,Fresh in moderate amounts,7,3,,weekly,,,True
FR10,38,كرز طازج,Fresh cherries,طازج,Fresh,7,3,,weekly,,,True
FR11,40,مشمش طازج,Fresh apricots,طازج,Fresh,7,3,,weekly,,,True
FR12,33,موز,Banana,طازج بكميات معتدلة,Fresh in moderate amounts,7,3,,weekly,,,True
FR13,86,عصير عنب معلب طبيعي,Natural canned grape juice,عصير عنب معلب طبيعي ضمن العصائر المعلبة المسموحة ويُتجنب العصير الطازج المعصور,Natural canned grape juice among permitted canned juices fresh squeezed juice is to be avoided,7,3,,weekly,,,True
FR14,87,عصير كريز معلب طبيعي,Natural canned cherry juice,عصير كريز معلب طبيعي ضمن العصائر المعلبة المسموحة ويُتجنب العصير الطازج المعصور,Natural canned cherry juice among permitted canned juices fresh squeezed juice is to be avoided,7,3,,weekly,,,True
FR15,88,عصير توت معلب طبيعي,Natural canned mulberry juice,عصير توت معلب طبيعي ضمن العصائر المعلبة المسموحة ويُتجنب العصير الطازج المعصور,Natural canned mulberry juice among permitted canned juices fresh squeezed juice is to be avoided,7,3,,weekly,,,True
FR16,89,قمر الدين المعلب,Canned apricot nectar,قمر الدين طبيعي معلب ضمن العصائر المعلبة المسموحة ويُتجنب العصير الطازج المعصور,Natural canned apricot nectar among permitted canned juices fresh squeezed juice is to be avoided,7,3,,weekly,,,True
FR17,90,جوافة طازجة بدون بذر,Fresh seedless guava,جوافة طازجة تُؤكل بدون بذور,Fresh guava eaten without seeds,7,4,,occasionally,,,True
FR18,91,توت مجفف,Dried mulberries,توت مجفف طبيعي بكميات معتدلة,Natural dried mulberries in moderate amounts,7,3,,weekly,,,True
FR19,92,تين مجفف,Dried figs,تين مجفف طبيعي بكميات معتدلة,Natural dried figs in moderate amounts,7,3,,weekly,,,True
NT01,47,عين الجمل,Walnuts,عين الجمل طبيعية نيئة,Raw natural walnuts,8,3,,weekly,,,True
NT02,46,فستق,Pistachios,فستق طبيعي نيئ,Raw natural pistachios,8,3,,weekly,,,True
NT03,48,فول سوداني,Peanuts,فول سوداني طبيعي نيئ,Raw natural peanuts,8,3,,weekly,,,True
NT04,45,كاجو,Cashews,كاجو طبيعي نيئ,Raw natural cashews,8,3,,weekly,,,True
NT05,44,لوز,Almonds,لوز طبيعي نيئ,Raw natural almonds,8,4,,weekly,,,True
SW01,55,حلاوة طحينية غامقة,Dark tahini halva,طحينة سمسم طبيعية غامقة بدون إضافات,Natural dark sesame tahini without additives,9,3,,weekly,,,True
SW02,56,شوكولاتة داكنة 70%,Dark chocolate 70%+,نسبة كاكاو 70% أو أكثر,70% cocoa content or more,9,2,,occasionally,مرة شهريًا كحد أقصى,,True
SW03,50,عسل أسود (دبس),Black honey (molasses),دبس قصب السكر الطبيعي الداكن,Natural dark sugarcane molasses,9,3,,weekly,,,True
SW04,49,عسل طبيعي,Natural honey,ملعقة على الريق يوميًا,A spoon on empty stomach daily,9,2,,daily,,,True
SW05,52,مربى تين طبيعية,Natural fig jam,مربى طبيعية بدون إضافات أو حافظات,Natural jam without additives or preservatives,9,4,,weekly,,,True
SW06,54,مربى فراولة طبيعية,Natural strawberry jam,مربى طبيعية بدون إضافات أو حافظات,Natural jam without additives or preservatives,9,4,,weekly,,,True
SW07,53,مربى مشمش طبيعية,Natural apricot jam,مربى طبيعية بدون إضافات أو حافظات,Natural jam without additives or preservatives,9,4,,weekly,,,True
SW08,51,نوتيلا,Nutella,مسموحة ضمن النظام في وجبتي الصباح والمساء فقط وبكميات معتدلة,Permitted in the system for breakfast and evening meals only in moderate amounts,9,2,,daily,,,True
SW09,72,شمع العسل,Honeycomb,شمع عسل طبيعي يُؤكل كما هو أو يُمضغ,Natural honeycomb eaten as is or chewed,9,3,,weekly,,,True
SW10,73,غذاء ملكات النحل,Royal jelly,غذاء ملكات النحل الطبيعي بكميات صغيرة,Natural royal jelly in small amounts,9,3,,weekly,,,True
SW11,74,حبوب اللقاح الطبيعية,Natural bee pollen,حبوب لقاح طبيعية تُستخدم بكميات صغيرة,Natural bee pollen used in small amounts,9,3,,weekly,,,True
SW12,75,اللبان الذكر (الكُندر),Frankincense (Boswellia),يُنقع في الماء ويُشرب أو يُمضغ مباشرة,Soaked in water and drunk or chewed directly,9,3,,weekly,,,True
SW13,76,المستكة اليونانية,Greek mastic,تُنقع مع زبدة جوز الهند وتُؤخذ على الريق,Soaked with coconut butter and taken on empty stomach,9,3,,weekly,,,True
SW14,77,حلاوة المولد (نوجا),Nougat halva,حلاوة مولد طبيعية من السمسم والعسل بدون إضافات صناعية,Natural nougat from sesame and honey without artificial additives,9,3,,weekly,,,True
OL01,57,زيتون كالاماتا,Kalamata olives,زيتون مخلل طبيعي يوناني الأصل,Natural pickled Greek Kalamata olives,10,3,,weekly,يُقدَّم دائمًا مع الأجبان المطبوخة,,True
DR01,58,شاي أخضر,Green tea,شاي أخضر طبيعي غير مخمر,Natural unfermented green tea,11,3,,weekly,,,True
DR02,59,قهوة تركية,Turkish coffee,من مصدر مضمون الجودة,From a quality-guaranteed source,11,2,,daily,,,True
DR03,60,ماء دافئ,Warm water,على الريق صباحًا قبل أي شيء يوميًا,On empty stomach every morning before anything daily,11,1,,daily_basic,,,True
HB01,61,شاي زعتر,Thyme tea,يُشرب دافئًا بعد الأكل,Served warm after meals,12,3,,weekly,أسبوعيًا بعد الوجبات,,True
HB02,62,كراوية دافئة,Warm caraway tea,يُشرب دافئًا بعد الأكل,Served warm after meals,12,3,,weekly,أسبوعيًا بعد الوجبات,,True
HB03,63,ينسون دافئ,Warm anise tea,يُشرب دافئًا بعد الأكل,Served warm after meals,12,3,,weekly,أسبوعيًا بعد الوجبات,,True
HB04,78,كمون دافئ,Warm cumin tea,يُشرب دافئًا بعد الأكل,Served warm after meals,12,3,,weekly,أسبوعيًا بعد الوجبات,,True
OI01,64,زيت زيتون,Olive oil,بكر ممتاز للسلطة والرش على الطعام ولا يُستخدم للقلي العميق,Extra virgin for salads and drizzling not for deep frying,13,1,,daily_basic,,,True
OI02,79,زيت الذرة وعباد الشمس,Corn and sunflower oil,زيت طبيعي يُستخدم للقلي بدلًا من الزيوت الصناعية,Natural oil used for frying as an alternative to artificial oils,13,1,,daily,,,True
OI03,80,خل قصب السكر الطبيعي,Natural sugarcane vinegar,كوب ماء مع ملعقة خل قصب السكر الطبيعي بعد الوجبات,A cup of water with a spoon of natural sugarcane vinegar after meals,13,3,,weekly,,,True
OI04,81,خل التفاح الطبيعي,Natural apple cider vinegar,خل تفاح طبيعي غير مبستر يُستخدم بعد الوجبات,Unpasteurized natural apple cider vinegar used after meals,13,3,,weekly,,,True
